IND_ID	Opt	Phen	AbsErr	Fitness	density

1.0	0.0	-0.184121	0.184121	0.858505	7.92469
2.0	0.0	-0.22857	0.22857	0.916109	5.5832
3.0	0.0	0.579595	0.579595	0.852021	7.89659
4.0	0.0	-0.405785	0.405785	0.958971	3.9552
5.0	0.0	0.682861	0.682861	0.857231	7.53743
6.0	0.0	0.401124	0.401124	0.960102	3.92052
7.0	0.0	0.00544795	0.00544795	0.87694	7.17748
8.0	0.0	-0.589739	0.589739	0.89045	6.28568
9.0	0.0	-0.144276	0.144276	0.950445	4.37728
10.0	0.0	0.426362	0.426362	0.805919	10.2142
11.0	0.0	0.743936	0.743936	0.773927	11.4599
12.0	0.0	-0.113036	0.113036	0.902116	6.15513
13.0	0.0	0.231064	0.231064	0.808061	10.2488
14.0	0.0	-0.990847	0.990847	0.829076	8.25393
15.0	0.0	0.110002	0.110002	0.790849	11.1737
16.0	0.0	-0.360117	0.360117	0.721819	15.042
17.0	0.0	0.752476	0.752476	0.820226	9.10252
18.0	0.0	0.319235	0.319235	0.89302	6.42481
19.0	0.0	0.276971	0.276971	0.864706	7.61403
20.0	0.0	0.42042	0.42042	0.872242	7.19494
21.0	0.0	0.335846	0.335846	0.899176	6.17214
22.0	0.0	0.855109	0.855109	0.847691	7.68091
23.0	0.0	0.084499	0.084499	0.963259	3.95355
24.0	0.0	-0.924055	0.924055	0.881526	6.1464
25.0	0.0	-0.71913	0.71913	0.784958	10.9135
26.0	0.0	0.112639	0.112639	0.828896	9.28485
27.0	0.0	0.0274805	0.0274805	0.899694	6.26121
28.0	0.0	0.568145	0.568145	0.800954	10.3077
29.0	0.0	0.206955	0.206955	0.826613	9.3602
30.0	0.0	-0.316921	0.316921	0.768474	12.2814
31.0	0.0	-0.498517	0.498517	0.841541	8.45276
32.0	0.0	0.47479	0.47479	0.750696	13.1507
33.0	0.0	0.239331	0.239331	0.901099	6.15132
34.0	0.0	-0.312357	0.312357	0.826422	9.31049
35.0	0.0	-0.375082	0.375082	0.891867	6.43245
36.0	0.0	-0.154869	0.154869	0.800958	10.6387
37.0	0.0	0.2674	0.2674	0.849007	8.30302
38.0	0.0	-0.426666	0.426666	0.749319	13.2835
39.0	0.0	0.0935577	0.0935577	0.826497	9.40228
40.0	0.0	-0.0540448	0.0540448	0.853661	8.16837
41.0	0.0	-0.215077	0.215077	0.880719	6.97551
42.0	0.0	0.59607	0.59607	0.881905	6.62015
43.0	0.0	0.378297	0.378297	0.938305	4.68902
44.0	0.0	0.380809	0.380809	0.892152	6.4169
45.0	0.0	0.426407	0.426407	0.917238	5.41754
46.0	0.0	0.233513	0.233513	0.814237	9.9428
47.0	0.0	-0.137236	0.137236	0.802315	10.5756
48.0	0.0	-0.883894	0.883894	0.798154	9.94505
49.0	0.0	-0.209206	0.209206	0.958716	4.07345
50.0	0.0	-0.514911	0.514911	0.875649	6.96513
51.0	0.0	0.0149612	0.0149612	0.887721	6.73689
52.0	0.0	0.392677	0.392677	0.966527	3.71212
53.0	0.0	-0.21743	0.21743	0.899574	6.22049
54.0	0.0	0.0925474	0.0925474	0.878686	7.09679
55.0	0.0	0.112291	0.112291	0.85036	8.30422
56.0	0.0	0.181227	0.181227	0.8414	8.68539
57.0	0.0	0.319613	0.319613	0.798722	10.6656
58.0	0.0	0.00645814	0.00645814	0.853791	8.16563
59.0	0.0	-0.578855	0.578855	0.848263	8.06271
60.0	0.0	-0.531232	0.531232	0.882274	6.67751
61.0	0.0	0.294344	0.294344	0.859864	7.81165
62.0	0.0	0.250925	0.250925	0.808204	10.2312
63.0	0.0	-0.0262061	0.0262061	0.973406	3.62296
64.0	0.0	-0.260953	0.260953	0.816801	9.80305
65.0	0.0	-0.693121	0.693121	0.747408	13.0401
66.0	0.0	-0.0629616	0.0629616	0.823194	9.5646
67.0	0.0	0.0079066	0.0079066	0.916644	5.61303
68.0	0.0	0.16714	0.16714	0.87008	7.43582
69.0	0.0	0.570242	0.570242	0.80729	9.98883
70.0	0.0	-0.0747722	0.0747722	0.916591	5.60972
71.0	0.0	-0.242363	0.242363	0.767942	12.3598
72.0	0.0	-0.450245	0.450245	0.957937	3.95564
73.0	0.0	-0.516132	0.516132	0.948164	4.23107
74.0	0.0	0.103446	0.103446	0.864821	7.67648
75.0	0.0	-0.457992	0.457992	0.80207	10.3763
76.0	0.0	0.530342	0.530342	0.862396	7.50442
77.0	0.0	-0.0761734	0.0761734	0.802916	10.5597
78.0	0.0	0.435294	0.435294	0.893226	6.3308
79.0	0.0	0.272841	0.272841	0.80783	10.2371
80.0	0.0	0.0703093	0.0703093	0.801962	10.609
81.0	0.0	-0.324452	0.324452	0.89166	6.47549
82.0	0.0	0.874632	0.874632	0.814662	9.15523
83.0	0.0	0.00769708	0.00769708	0.834672	9.02874
84.0	0.0	-0.514147	0.514147	0.827625	9.07569
85.0	0.0	0.201624	0.201624	0.90496	6.01803
