Region	Region	Fst

1.0	2.0	0.00344221
1.0	3.0	0.00981535
1.0	4.0	0.0235354
1.0	5.0	0.0378808
1.0	6.0	0.0494183
1.0	7.0	0.0668647
1.0	8.0	0.0644304
1.0	9.0	0.0589579
1.0	10.0	0.0805937
2.0	3.0	0.00449982
2.0	4.0	0.0189159
2.0	5.0	0.0319519
2.0	6.0	0.041578
2.0	7.0	0.055705
2.0	8.0	0.0528767
2.0	9.0	0.0510195
2.0	10.0	0.071566
3.0	4.0	0.00569116
3.0	5.0	0.01804
3.0	6.0	0.0311164
3.0	7.0	0.0467187
3.0	8.0	0.0444608
3.0	9.0	0.0463728
3.0	10.0	0.0709903
4.0	5.0	0.00460332
4.0	6.0	0.0168551
4.0	7.0	0.0323772
4.0	8.0	0.0338794
4.0	9.0	0.0429307
4.0	10.0	0.0721468
5.0	6.0	0.00560775
5.0	7.0	0.0189663
5.0	8.0	0.0271438
5.0	9.0	0.0380725
5.0	10.0	0.0610628
6.0	7.0	0.00555009
6.0	8.0	0.0137396
6.0	9.0	0.0234106
6.0	10.0	0.0403968
7.0	8.0	0.00534885
7.0	9.0	0.0155756
7.0	10.0	0.0288211
8.0	9.0	0.00634507
8.0	10.0	0.0223613
9.0	10.0	0.00863169
