Region	Region	Fst

1.0	2.0	0.00308235
1.0	3.0	0.0100181
1.0	4.0	0.0131895
1.0	5.0	0.0187046
1.0	6.0	0.0226956
1.0	7.0	0.030303
1.0	8.0	0.0323632
1.0	9.0	0.0426173
1.0	10.0	0.0515075
2.0	3.0	0.00606474
2.0	4.0	0.0138664
2.0	5.0	0.0184631
2.0	6.0	0.022277
2.0	7.0	0.0307983
2.0	8.0	0.0323319
2.0	9.0	0.0405774
2.0	10.0	0.047626
3.0	4.0	0.00260045
3.0	5.0	0.0080425
3.0	6.0	0.0101476
3.0	7.0	0.0191341
3.0	8.0	0.0211785
3.0	9.0	0.0325205
3.0	10.0	0.0398123
4.0	5.0	0.00278963
4.0	6.0	0.0062401
4.0	7.0	0.0135805
4.0	8.0	0.0155239
4.0	9.0	0.0278152
4.0	10.0	0.0353409
5.0	6.0	0.0027447
5.0	7.0	0.00927699
5.0	8.0	0.00952104
5.0	9.0	0.0254684
5.0	10.0	0.0326103
6.0	7.0	0.005051
6.0	8.0	0.00942907
6.0	9.0	0.0226075
6.0	10.0	0.0313839
7.0	8.0	0.00331864
7.0	9.0	0.0155397
7.0	10.0	0.0264996
8.0	9.0	0.0101652
8.0	10.0	0.018194
9.0	10.0	0.00416283
