IND_ID	Opt	Phen	AbsErr	Fitness	density

1.0	0.0	-0.323839	0.323839	0.809925	10.0998
2.0	0.0	0.599523	0.599523	0.859098	7.566
3.0	0.0	0.664451	0.664451	0.915912	5.22074
4.0	0.0	-0.20112	0.20112	0.844947	8.51703
5.0	0.0	-0.25664	0.25664	0.85169	8.18999
6.0	0.0	-0.24873	0.24873	0.779239	11.7348
7.0	0.0	0.217912	0.217912	0.930631	5.05296
8.0	0.0	0.0800844	0.0800844	0.85384	8.1569
9.0	0.0	-0.78485	0.78485	0.909821	5.28246
10.0	0.0	0.120748	0.120748	0.844893	8.5466
11.0	0.0	-0.44002	0.44002	0.881161	6.8106
12.0	0.0	0.0922581	0.0922581	0.858563	7.94829
13.0	0.0	-0.0252948	0.0252948	0.861124	7.84549
14.0	0.0	-0.11445	0.11445	0.78482	11.491
15.0	0.0	-0.170092	0.170092	0.940553	4.71543
16.0	0.0	-0.38844	0.38844	0.851327	8.11794
17.0	0.0	0.0634079	0.0634079	0.829645	9.25894
18.0	0.0	-0.541199	0.541199	0.825548	9.14277
19.0	0.0	-0.673381	0.673381	0.812226	9.60732
20.0	0.0	-0.640463	0.640463	0.893145	6.11862
21.0	0.0	-0.292108	0.292108	0.80832	10.2008
22.0	0.0	-0.103824	0.103824	0.859338	7.91234
23.0	0.0	-0.135453	0.135453	0.853016	8.18079
24.0	0.0	0.054041	0.054041	0.842678	8.65891
25.0	0.0	-1.57683	1.57683	0.693871	13.9496
26.0	0.0	0.438567	0.438567	0.817091	9.65414
27.0	0.0	-0.122892	0.122892	0.922968	5.36353
28.0	0.0	-0.165334	0.165334	0.837564	8.86642
29.0	0.0	-0.0912278	0.0912278	0.883406	6.90362
30.0	0.0	0.0150969	0.0150969	0.864703	7.69221
31.0	0.0	0.309655	0.309655	0.825594	9.35144
32.0	0.0	-0.447256	0.447256	0.871204	7.21482
33.0	0.0	-0.236181	0.236181	0.78294	11.5427
34.0	0.0	0.0362988	0.0362988	0.865363	7.66291
35.0	0.0	-0.727109	0.727109	0.798157	10.2218
36.0	0.0	-0.047583	0.047583	0.863244	7.75259
37.0	0.0	-0.619197	0.619197	0.810662	9.75951
38.0	0.0	-0.137153	0.137153	0.800641	10.6606
39.0	0.0	0.341069	0.341069	0.906925	5.86941
40.0	0.0	-0.706976	0.706976	0.758188	12.3944
41.0	0.0	-0.101407	0.101407	0.763921	12.643
42.0	0.0	0.190225	0.190225	0.879998	7.01512
43.0	0.0	-0.606728	0.606728	0.830629	8.82573
44.0	0.0	0.47201	0.47201	0.88392	6.66976
45.0	0.0	0.377194	0.377194	0.865631	7.50794
46.0	0.0	-0.189969	0.189969	0.87204	7.34524
47.0	0.0	0.402805	0.402805	0.835026	8.84041
48.0	0.0	-0.0536355	0.0536355	0.875967	7.21499
49.0	0.0	-0.714491	0.714491	0.834112	8.51577
50.0	0.0	-0.165275	0.165275	0.787404	11.3377
51.0	0.0	-0.166222	0.166222	0.835662	8.95368
52.0	0.0	0.314706	0.314706	0.902636	6.0511
53.0	0.0	-0.51355	0.51355	0.877913	6.87351
54.0	0.0	0.0872182	0.0872182	0.891476	6.57903
55.0	0.0	0.100132	0.100132	0.855062	8.0995
56.0	0.0	0.226481	0.226481	0.724198	14.9873
57.0	0.0	0.289292	0.289292	0.914422	5.61644
58.0	0.0	-0.0891306	0.0891306	0.898326	6.30775
59.0	0.0	0.675354	0.675354	0.770107	11.7795
60.0	0.0	0.536142	0.536142	0.783769	11.2351
61.0	0.0	0.197955	0.197955	0.925292	5.25523
62.0	0.0	-0.318259	0.318259	0.771247	12.1264
63.0	0.0	-0.663878	0.663878	0.871991	6.94082
64.0	0.0	0.337523	0.337523	0.795571	10.814
65.0	0.0	-0.0894535	0.0894535	0.870144	7.45335
66.0	0.0	0.412175	0.412175	0.779037	11.6219
67.0	0.0	0.086094	0.086094	0.85134	8.26619
68.0	0.0	0.130135	0.130135	0.941178	4.7045
