IND_ID	Opt	Phen	AbsErr	Fitness	density

1.0	0.0	0.0568922	0.0568922	0.91346	5.72981
2.0	0.0	0.0459965	0.0459965	0.833619	9.07537
3.0	0.0	0.284387	0.284387	0.793367	10.9649
4.0	0.0	0.0889464	0.0889464	0.87225	7.36492
5.0	0.0	-0.0338938	0.0338938	0.798629	10.7831
6.0	0.0	-0.0864594	0.0864594	0.783116	11.5885
7.0	0.0	0.0808085	0.0808085	0.810996	10.1548
8.0	0.0	-0.0531712	0.0531712	0.914374	5.6957
9.0	0.0	-0.151703	0.151703	0.849897	8.31396
10.0	0.0	-0.204129	0.204129	0.82025	9.66498
11.0	0.0	-0.124988	0.124988	0.840826	8.72967
12.0	0.0	-0.0612533	0.0612533	0.876207	7.20413
13.0	0.0	-0.22567	0.22567	0.922253	5.35593
14.0	0.0	0.300429	0.300429	0.854305	8.04972
15.0	0.0	-0.146877	0.146877	0.879917	7.0331
16.0	0.0	-0.189628	0.189628	0.864592	7.66046
17.0	0.0	0.780679	0.780679	0.79018	10.5391
18.0	0.0	-0.201839	0.201839	0.774824	11.9995
19.0	0.0	-0.117857	0.117857	0.83518	8.99053
20.0	0.0	0.166443	0.166443	0.850804	8.26884
21.0	0.0	-0.167746	0.167746	0.907291	5.94055
22.0	0.0	-0.136081	0.136081	0.834454	9.01922
23.0	0.0	-0.732379	0.732379	0.828249	8.75829
24.0	0.0	-0.731157	0.731157	0.876179	6.67543
25.0	0.0	0.123093	0.123093	0.870642	7.42514
26.0	0.0	-0.169063	0.169063	0.942418	4.64997
27.0	0.0	-0.640112	0.640112	0.882989	6.52269
28.0	0.0	-0.115659	0.115659	0.870247	7.44355
29.0	0.0	-0.0650823	0.0650823	0.842097	8.68387
30.0	0.0	0.382352	0.382352	0.859476	7.7674
31.0	0.0	0.0234689	0.0234689	0.783321	11.5854
32.0	0.0	0.0806314	0.0806314	0.869234	7.49326
33.0	0.0	0.168359	0.168359	0.857789	7.9615
34.0	0.0	-0.127132	0.127132	0.851872	8.23357
35.0	0.0	0.203499	0.203499	0.80732	10.299
36.0	0.0	0.114028	0.114028	0.885513	6.81341
37.0	0.0	-0.261342	0.261342	0.785891	11.3713
38.0	0.0	-0.031748	0.031748	0.87809	7.12893
39.0	0.0	-0.573568	0.573568	0.823169	9.21646
40.0	0.0	-0.167565	0.167565	0.933968	4.95089
