Region	Region	Fst

1.0	2.0	0.0494689
1.0	3.0	0.143272
1.0	4.0	0.259658
1.0	5.0	0.366373
1.0	6.0	0.376672
1.0	7.0	0.365924
1.0	8.0	0.379552
1.0	9.0	0.341553
1.0	10.0	0.431171
2.0	3.0	0.114667
2.0	4.0	0.194034
2.0	5.0	0.287222
2.0	6.0	0.319791
2.0	7.0	0.333279
2.0	8.0	0.364549
2.0	9.0	0.353106
2.0	10.0	0.416311
3.0	4.0	0.0519984
3.0	5.0	0.13944
3.0	6.0	0.179042
3.0	7.0	0.193652
3.0	8.0	0.221933
3.0	9.0	0.223534
3.0	10.0	0.27833
4.0	5.0	0.044324
4.0	6.0	0.132467
4.0	7.0	0.190461
4.0	8.0	0.24487
4.0	9.0	0.283815
4.0	10.0	0.296101
5.0	6.0	0.0776787
5.0	7.0	0.166052
5.0	8.0	0.242116
5.0	9.0	0.322312
5.0	10.0	0.30559
6.0	7.0	0.039952
6.0	8.0	0.0988333
6.0	9.0	0.205832
6.0	10.0	0.201483
7.0	8.0	0.0238329
7.0	9.0	0.122465
7.0	10.0	0.138003
8.0	9.0	0.077176
8.0	10.0	0.116087
9.0	10.0	0.0622819
