Ind_ID	PosInd_X	PosInd_Y	MutEffect	Region

99	0.518413	15.5669	-0.0588645	1
100	1.39605	22.2696	-0.39316	1
101	0.0560771	14.9923	0.586735	1
109	1.57743	13.864	0.702442	1
114	0.464362	6.31351	-0.235443	1
165	0.928658	3.363	0.300442	1
169	1.87661	19.0305	0.158408	1
171	1.98529	21.301	0.612112	1
180	1.43653	20.9242	-0.829333	1
187	2.48823	21.4319	0.801552	1
218	1.66864	4.20287	-0.0100334	1
265	1.0213	4.35296	0.498633	1
268	1.77472	13.849	0.69809	1
270	1.53797	5.50982	-0.379976	1
281	2.4316	21.7009	0.463597	1
287	1.79695	22.4714	0.264989	1
292	1.78272	7.10714	-0.596089	1
301	0.645343	11.6435	-1.00426	1
304	0.236533	15.0339	-0.11791	1
350	2.10682	16.0654	0.165215	1
372	2.47332	10.9858	0.261777	1
384	1.39259	23.9665	-0.37382	1
399	1.0475	21.3007	0.323497	1
402	2.01491	22.541	-0.942533	1
407	0.958699	14.1707	-0.762046	1
412	0.298136	4.284	-0.30093	1
475	1.53294	3.78842	0.672722	1
491	1.3039	5.69993	0.342175	1
497	2.26347	8.31958	-0.77965	1
509	1.97499	5.81876	0.423858	1
529	2.23864	13.7865	-0.200051	1
530	1.75824	12.8008	-0.267194	1
539	2.24401	4.45507	-0.191885	1
549	1.2987	5.79038	1.1241	1
550	1.92932	5.74055	0.0989814	1
590	2.06262	24.5866	0.0996407	1
620	1.94121	3.9666	0.227531	1
627	2.06106	20.4796	0.0986298	1
630	2.38134	3.46186	0.764478	1
639	1.33886	23.6445	0.0739508	1
647	1.98357	14.1738	-0.273955	1
662	2.42058	18.667	-0.714734	1
673	0.172676	4.32243	-0.345838	1
676	2.11418	14.4323	0.396968	1
686	2.11568	18.5596	-1.61657	1
688	2.32749	5.97609	-0.543988	1
692	2.22263	4.85	-0.0788593	1
706	1.53213	23.4115	-0.0135328	1
722	1.82196	13.8417	0.886818	1
723	2.13349	13.7262	1.24261	1
729	1.87875	4.14866	-0.263426	1
740	1.69955	20.4825	0.0424594	1
758	2.14609	7.72672	-0.635772	1
760	1.74999	24.4243	0.35318	1
766	1.87503	11.4456	-0.0874535	1
777	2.4573	19.4274	-0.668199	1
788	1.12215	22.3896	0.631771	1
826	1.99	6.34142	-0.363911	1
830	1.5803	23.681	0.319438	1
831	0.981458	24.4916	0.431942	1
846	2.20617	18.8353	-0.138	1
847	1.35114	5.6751	0.534644	1
874	1.50244	19.2118	-0.141235	1
894	1.99894	21.6582	-0.957851	1
918	1.3249	6.23226	1.29411	1
957	2.38512	7.03261	-0.176436	1
962	2.47802	6.33389	0.450589	1
1003	2.42201	19.3661	-0.151095	1
1005	2.44359	6.75799	0.46776	1
1053	2.41079	6.08953	-0.741755	1
1095	2.17911	3.88648	0.379098	1
