Ind_ID	PosInd_X	PosInd_Y	PhenValue	Region

19	2.04515	1.4562	0.0227052	1
25	0.830763	12.1824	0.995424	1
29	1.63777	6.39039	0.390201	1
32	1.38973	17.6916	1.09387	1
36	0.430799	12.3363	0.677243	1
41	1.77885	3.64653	0.392416	1
49	0.318106	14.8876	0.697758	1
62	2.36601	24.8306	0.913871	1
64	0.0393785	11.658	0.841813	1
66	0.777183	3.19941	0.150705	1
73	1.04794	2.78829	0.542398	1
90	0.193364	17.0121	0.284481	1
97	0.107574	22.3219	-0.0647299	1
115	0.87103	19.882	0.503081	1
136	0.188808	21.9605	0.560873	1
152	0.518079	2.03346	0.55005	1
153	0.819366	4.01748	0.186259	1
154	1.63985	24.7555	0.501064	1
166	2.35826	23.8637	-0.152457	1
182	1.31526	21.8913	0.5364	1
205	0.12745	1.9717	1.21819	1
214	0.346013	18.9949	0.338101	1
233	0.112899	16.8157	0.0283978	1
247	1.09227	12.6407	0.568606	1
268	1.19212	24.9325	-0.297199	1
269	2.4008	21.5398	0.339723	1
283	0.434605	7.52562	0.896552	1
290	0.166626	3.11484	0.6911	1
292	0.875622	17.1122	0.186588	1
295	1.7066	11.8311	0.0101224	1
300	2.0469	11.4934	0.758318	1
343	1.56011	21.245	1.0848	1
348	1.26867	12.8688	1.20557	1
353	2.2628	11.6032	1.09727	1
399	1.43994	17.4113	0.122589	1
448	1.75705	11.407	0.501031	1
457	0.368726	12.3034	0.847111	1
458	2.10022	4.8914	1.36034	1
479	1.91965	17.8119	-0.119078	1
480	2.16766	0.473938	0.288599	1
481	2.16771	1.6458	0.386817	1
482	1.42259	15.3838	0.585893	1
516	2.13708	8.86965	0.553737	1
522	0.534639	0.237271	0.827001	1
525	0.886196	16.2276	-0.293829	1
537	1.06877	6.18918	0.80625	1
539	1.52423	20.1308	0.763146	1
559	0.619988	7.91611	1.32795	1
583	2.30449	20.3884	0.386502	1
586	0.147527	17.9088	0.54407	1
591	1.12555	4.36806	0.610431	1
611	0.0166689	22.0463	-0.0180444	1
621	0.0682503	20.1784	-0.0222652	1
647	2.4553	4.66709	-0.073251	1
658	0.0618716	17.3791	0.754159	1
660	1.60405	18.7482	0.224509	1
664	2.36226	21.5131	0.203058	1
668	1.67016	7.74765	0.536897	1
671	1.92511	12.2557	0.492313	1
688	0.744586	3.96847	1.00257	1
698	1.58499	19.2092	0.795233	1
709	2.27371	22.4212	0.648888	1
718	0.438901	21.6614	0.421444	1
720	0.979522	12.1281	0.298849	1
723	2.31619	12.3596	1.29035	1
738	0.560202	10.1302	0.294914	1
739	1.56311	2.23887	0.0426511	1
767	0.967751	11.5876	1.13974	1
779	0.252209	21.2938	0.465944	1
784	0.418963	23.7692	0.737803	1
795	1.06574	1.83988	1.16441	1
797	1.0955	10.1544	0.603989	1
806	1.44384	14.1173	0.381518	1
816	0.133515	7.15926	1.19369	1
822	1.84724	12.402	-0.202855	1
854	2.16103	6.71101	-0.194241	1
862	1.77436	1.87888	0.560932	1
882	1.56706	0.414853	1.08377	1
889	1.37027	14.9829	0.0539398	1
893	0.17373	9.1958	0.35383	1
899	0.555499	18.791	-0.0252968	1
920	0.796883	18.1557	0.345892	1
927	1.203	10.8238	0.0916567	1
935	2.3273	9.24596	0.285794	1
950	0.287375	9.11574	1.26529	1
997	1.61579	14.1431	0.424967	1
1002	0.188297	21.2431	0.430831	1
1006	2.48512	1.4871	0.613968	1
1008	2.41106	8.68484	0.896409	1
1009	0.526435	1.95662	0.4174	1
1010	1.25188	21.0079	0.125052	1
1022	1.77678	15.6799	0.876357	1
1033	0.976998	4.02719	0.736319	1
1055	1.49752	16.5057	0.88148	1
1064	2.01585	18.2408	0.890001	1
1074	2.2236	11.4164	-0.0416997	1
1081	2.44254	14.1983	-0.0388752	1
1084	1.95082	3.09009	0.922154	1
1106	0.632555	23.7522	0.733858	1
1110	1.64268	7.14062	0.552356	1
1111	1.35856	21.8324	0.496456	1
1137	0.824645	10.9747	1.02392	1
1138	1.99194	13.2935	1.26095	1
1142	0.583645	24.7974	0.461177	1
1194	1.61054	4.76024	0.347362	1
1198	1.24097	9.42602	0.656135	1
1230	1.79337	20.5479	0.732892	1
1241	0.963807	14.1254	0.361426	1
1244	1.6703	5.61675	1.23816	1
1250	1.99071	19.0951	0.794967	1
1260	2.21398	3.32452	0.909079	1
1276	2.1584	0.483293	0.495019	1
1280	0.586926	17.8408	0.207786	1
1281	1.61867	7.26409	0.841337	1
1300	1.12031	23.3208	0.754163	1
1305	1.39073	14.3713	0.441025	1
1312	0.977643	20.9076	0.649957	1
1317	2.4861	14.5132	1.11205	1
1329	1.56387	16.1447	0.171269	1
1342	0.434452	6.90899	0.498132	1
