Ind_ID	PosInd_X	PosInd_Y	MutEffect	Region

2	2.03502	7.09121	1.30438	1
5	1.63131	8.31965	0.292688	1
18	4.24544	15.0182	0.227955	1
27	2.71141	7.36354	0.361764	1
35	0.672306	23.37	0.324943	1
38	1.46588	9.53574	0.661923	1
39	4.159	21.5493	0.196421	1
44	4.78154	9.11931	0.654938	1
46	4.93909	17.6448	0.477991	1
56	0.995728	20.2677	0.213713	1
57	1.92627	11.0966	0.986362	1
58	0.721495	4.76606	0.851528	1
59	3.29149	2.6134	0.105375	1
61	4.38475	15.5015	0.192737	1
68	4.08797	24.1988	0.568398	1
70	2.56437	24.7261	0.337962	1
73	3.54124	15.6589	-0.0764507	1
75	4.22877	18.8212	0.0575963	1
82	1.95847	3.15465	0.372805	1
85	1.74026	21.0548	0.754869	1
86	4.53121	12.2289	0.52019	1
87	1.22939	4.1421	-0.622496	1
95	4.87929	8.72323	0.0400237	1
96	2.15401	3.18532	0.44844	1
100	0.0130148	6.31357	1.16919	1
105	4.63091	9.30235	0.0390381	1
108	4.48542	10.1474	0.138314	1
110	3.72024	2.14987	1.51774	1
116	3.70666	17.7349	0.376017	1
118	2.9916	11.3855	0.32487	1
123	2.64308	4.02363	1.02083	1
126	3.73012	7.59192	0.859298	1
130	2.21614	2.997	-0.0415861	1
146	2.225	15.9807	0.571185	1
161	2.90895	17.1084	0.111304	1
164	4.52575	7.80553	0.303814	1
165	1.33759	6.89116	-0.54254	1
169	0.763556	3.60229	-0.348904	1
170	0.511897	6.67388	0.444847	1
173	1.88659	8.07307	0.408146	1
175	1.43444	24.8871	1.02208	1
178	0.68588	18.2568	0.341237	1
187	3.32846	12.709	0.479813	1
188	0.546925	3.52858	-0.131712	1
192	3.10463	4.64402	1.01719	1
193	3.09523	20.9903	0.344892	1
195	2.36588	18.8074	-0.00363052	1
200	0.0550429	19.8721	0.838094	1
202	4.19282	23.7393	0.45755	1
206	4.97671	5.39854	0.318775	1
218	1.5664	4.19257	0.397449	1
226	0.570619	18.9622	-0.0140344	1
229	3.61607	2.75519	-0.841893	1
232	3.12863	4.60766	0.723554	1
