IND_ID	Opt	Phen	AbsErr	Fitness	density

1.0	0.776299	-0.247815	1.02411	0.863469	6.68944
2.0	0.0936052	-0.243931	0.337536	0.944726	4.49022
3.0	0.732473	0.576005	0.156469	0.956372	4.17059
4.0	0.394186	0.320861	0.0733246	0.857698	7.98914
5.0	0.0496119	-0.183474	0.233086	0.894127	6.42769
6.0	0.767562	0.69557	0.0719926	0.830981	9.19507
7.0	0.957887	0.739521	0.218367	0.899319	6.23005
8.0	0.378038	0.685028	0.306989	0.840923	8.64246
9.0	0.740258	0.696947	0.0433109	0.791303	11.1615
10.0	0.975374	0.475331	0.500043	0.953611	4.05939
11.0	0.483119	0.706116	0.222997	0.945985	4.50546
12.0	0.28954	0.139158	0.150382	0.904783	6.04232
13.0	0.258928	0.194874	0.0640537	0.831157	9.18801
14.0	0.517575	0.72681	0.209235	0.902084	6.12618
15.0	0.251442	0.341438	0.0899961	0.927413	5.20703
16.0	0.15733	0.911237	0.753906	0.833859	8.46675
17.0	0.941366	0.20885	0.732517	0.880801	6.48599
18.0	0.134371	-0.912874	1.04724	0.849951	7.21238
19.0	0.320192	0.421802	0.10161	0.876483	7.18608
20.0	0.60059	-0.25868	0.85927	0.901063	5.4967
21.0	0.773689	1.06335	0.289664	0.880662	6.94026
22.0	0.70743	0.337911	0.369519	0.902389	6.0243
23.0	0.697452	0.700824	0.00337175	0.858047	7.97947
24.0	0.0925194	0.70776	0.615241	0.798377	10.3763
25.0	0.434102	-0.356313	0.790414	0.820723	9.01674
26.0	0.944061	1.49247	0.54841	0.924808	5.02654
27.0	0.23056	-0.569329	0.799888	0.92212	4.80721
28.0	0.149949	-0.291751	0.441701	0.849215	8.16544
29.0	0.675778	0.364987	0.310791	0.883577	6.80882
30.0	0.0314734	0.478143	0.44667	0.899184	6.08749
31.0	0.407423	1.09536	0.687942	0.870398	6.97435
32.0	0.270816	0.915009	0.644193	0.932283	4.65085
33.0	0.247006	0.581641	0.334635	0.939312	4.68226
34.0	0.608514	1.18231	0.573793	0.893365	6.1888
35.0	0.124977	0.513259	0.388282	0.818873	9.61322
36.0	0.138546	1.0099	0.871356	0.805171	9.62112
37.0	0.40173	0.827299	0.42557	0.830332	9.03782
38.0	0.380903	0.096826	0.284077	0.946501	4.45895
39.0	0.0619755	0.586199	0.524224	0.927309	4.96007
40.0	0.632616	0.242336	0.39028	0.923728	5.2057
41.0	0.859326	0.549023	0.310303	0.869413	7.39467
42.0	0.437131	0.126457	0.310674	0.925445	5.19549
43.0	0.648698	1.15389	0.505188	0.90997	5.62014
44.0	0.680695	0.547168	0.133527	0.875618	7.21441
45.0	0.494114	0.547369	0.0532548	0.85539	8.09254
46.0	0.930997	1.06087	0.129868	0.849327	8.34569
47.0	0.275848	-0.520243	0.796092	0.81448	9.30432
48.0	0.499664	0.454361	0.0453029	0.898486	6.30724
49.0	0.847411	1.12024	0.272829	0.834815	8.94312
50.0	0.564516	0.606813	0.0422969	0.881253	6.99807
51.0	0.141703	-0.253205	0.394909	0.834755	8.85952
52.0	0.943222	1.05052	0.107296	0.935988	4.89398
53.0	0.707862	0.405215	0.302647	0.91676	5.52124
54.0	0.0839772	0.475437	0.391459	0.838776	8.67807
55.0	0.366856	0.573204	0.206348	0.882654	6.9001
56.0	0.992026	1.22215	0.230124	0.961661	3.96577
57.0	0.65906	0.335754	0.323306	0.950334	4.30432
58.0	0.994668	1.16474	0.17007	0.835491	8.9602
59.0	0.749118	-0.214876	0.963993	0.825822	8.45782
60.0	0.585522	0.496843	0.0886785	0.795231	10.9504
61.0	0.485728	0.251806	0.233921	0.735767	14.2554
62.0	0.106197	-0.251822	0.35802	0.816532	9.75082
63.0	0.514495	0.939188	0.424693	0.869065	7.32432
64.0	0.99583	0.675503	0.320327	0.915266	5.56665
65.0	0.796325	1.2166	0.420272	0.849668	8.16455
66.0	0.530656	0.296783	0.233872	0.878939	7.04013
67.0	0.393494	0.168595	0.224899	0.889712	6.6071
68.0	0.14889	-0.106219	0.255109	0.859882	7.83299
69.0	0.0764668	-0.204817	0.281284	0.850233	8.2407
70.0	0.940478	1.19906	0.258583	0.873344	7.25965
71.0	0.321921	0.918933	0.597012	0.88134	6.64192
72.0	0.433338	-0.227643	0.660981	0.846767	8.02369
73.0	0.456953	-0.0392798	0.496233	0.877462	6.90942
74.0	0.483964	1.80089	1.31692	0.784395	9.60157
