Region	Region	Fst

1.0	2.0	0.00308505
1.0	3.0	0.0109249
1.0	4.0	0.0288898
1.0	5.0	0.029195
1.0	6.0	0.0354727
1.0	7.0	0.0488989
1.0	8.0	0.0519913
1.0	9.0	0.0612247
1.0	10.0	0.0778579
2.0	3.0	0.00488062
2.0	4.0	0.0229459
2.0	5.0	0.0243622
2.0	6.0	0.0302623
2.0	7.0	0.045978
2.0	8.0	0.0502997
2.0	9.0	0.0597249
2.0	10.0	0.0763337
3.0	4.0	0.0101157
3.0	5.0	0.0147715
3.0	6.0	0.0243568
3.0	7.0	0.0386874
3.0	8.0	0.0426635
3.0	9.0	0.0525058
3.0	10.0	0.0739784
4.0	5.0	0.0040917
4.0	6.0	0.0148041
4.0	7.0	0.0261442
4.0	8.0	0.0284993
4.0	9.0	0.0367224
4.0	10.0	0.0554604
5.0	6.0	0.0048664
5.0	7.0	0.0170358
5.0	8.0	0.0218997
5.0	9.0	0.029097
5.0	10.0	0.0448883
6.0	7.0	0.00646566
6.0	8.0	0.0120016
6.0	9.0	0.0175949
6.0	10.0	0.0280496
7.0	8.0	0.00381181
7.0	9.0	0.0126285
7.0	10.0	0.018368
8.0	9.0	0.00327359
8.0	10.0	0.0143049
9.0	10.0	0.0110433
