IND_ID	Opt	Phen	AbsErr	Fitness

1.0	0.195142	0.192543	0.00259903	0.777573
2.0	0.22891	0.320566	0.0916566	0.853702
3.0	0.812511	1.41789	0.605384	0.776985
4.0	0.75173	0.967236	0.215506	0.790594
5.0	0.0963926	-0.0316068	0.127999	0.846705
6.0	0.101449	-0.235647	0.337096	0.840563
7.0	0.784899	-0.298858	1.08376	0.710151
8.0	0.871786	0.603911	0.267875	0.79318
9.0	0.77226	0.701511	0.0707493	0.760663
10.0	0.941162	0.309357	0.631805	0.854987
11.0	0.0245631	-0.224022	0.248585	0.980481
12.0	0.47959	0.404131	0.0754595	0.84129
13.0	0.546854	0.011659	0.535195	0.780289
14.0	0.349139	-0.165248	0.514387	0.740778
15.0	0.221037	0.432802	0.211766	0.782754
16.0	0.0427188	-0.00547452	0.0481933	0.80139
17.0	0.971011	0.499523	0.471488	0.753966
18.0	0.845552	0.940704	0.0951523	0.828905
19.0	0.502021	0.770938	0.268917	0.809466
20.0	0.55527	0.810554	0.255284	0.882089
21.0	0.805001	0.597724	0.207278	0.850556
22.0	0.475987	0.751892	0.275904	0.805471
23.0	0.990493	1.29211	0.301618	0.618337
24.0	0.905806	0.829936	0.0758704	0.844124
25.0	0.216675	0.0155502	0.201125	0.888386
26.0	0.554928	0.638996	0.0840679	0.704895
27.0	0.714929	0.546414	0.168515	0.876076
28.0	0.934683	1.05152	0.116834	0.819506
29.0	0.39983	-0.169622	0.569451	0.860313
30.0	0.0716486	0.373286	0.301637	0.849745
31.0	0.612644	0.756776	0.144132	0.812722
32.0	0.696986	0.638573	0.058413	0.773568
33.0	0.791602	1.12019	0.328583	0.809376
34.0	0.700638	-0.0782577	0.778896	0.77338
35.0	0.948274	1.13563	0.187358	0.888028
36.0	0.553577	0.762331	0.208754	0.702635
37.0	0.990442	0.638591	0.351851	0.820567
38.0	0.917653	0.0927773	0.824876	0.852887
39.0	0.719813	0.842577	0.122763	0.850754
40.0	0.802246	0.906574	0.104328	0.849013
41.0	0.424983	0.24755	0.177433	0.78121
42.0	0.102479	0.849723	0.747244	0.732213
43.0	0.158113	0.331349	0.173236	0.769632
44.0	0.360659	0.103917	0.256742	0.90196
45.0	0.742315	1.43163	0.689319	0.762619
46.0	0.847809	0.560088	0.287722	0.866845
47.0	0.405132	0.673325	0.268193	0.829576
48.0	0.542475	0.762688	0.220213	0.863269
49.0	0.448028	0.646118	0.19809	0.880923
50.0	0.0586022	0.245123	0.186521	0.848003
51.0	0.847104	0.903618	0.0565146	0.693951
52.0	0.104034	0.322314	0.218281	0.76825
53.0	0.314898	-0.0615762	0.376475	0.815824
54.0	0.77987	0.359797	0.420074	0.748289
55.0	0.143257	0.564051	0.420794	0.877282
56.0	0.779411	0.748895	0.0305163	0.830914
57.0	0.0223069	-0.162016	0.184323	0.836607
58.0	0.982744	1.04883	0.0660889	0.839524
59.0	0.333467	0.358892	0.0254246	0.825671
60.0	0.103674	-0.742668	0.846343	0.80775
61.0	0.825571	0.971596	0.146025	0.851215
62.0	0.32919	-0.00700892	0.336199	0.744861
63.0	0.702827	1.68706	0.984235	0.691622
64.0	0.320814	0.171402	0.149412	0.702378
65.0	0.599372	0.856284	0.256913	0.774449
66.0	0.557425	0.743485	0.18606	0.912752
67.0	0.461423	0.936893	0.475471	0.807413
68.0	0.103668	-0.0860403	0.189709	0.916887
69.0	0.525426	0.753288	0.227863	0.864173
70.0	0.215038	0.0713455	0.143693	0.881408
71.0	0.598821	0.727117	0.128296	0.842125
72.0	0.172182	0.367899	0.195717	0.978424
73.0	0.433582	0.216893	0.216688	0.859677
74.0	0.918015	1.03102	0.113009	0.795852
75.0	0.384032	0.841498	0.457466	0.875954
76.0	0.0160239	1.23935	1.22332	0.776479
77.0	0.838543	0.765767	0.0727768	0.830336
78.0	0.504977	0.851001	0.346024	0.687912
79.0	0.773688	0.57207	0.201618	0.721127
80.0	0.426136	0.0965201	0.329616	0.844194
81.0	0.187962	0.201608	0.0136455	0.796315
82.0	0.654001	0.49958	0.154421	0.855092
83.0	0.198048	-0.0253469	0.223395	0.649575
84.0	0.15871	0.297636	0.138926	0.75024
85.0	0.942321	0.51336	0.428961	0.786248
86.0	0.815645	1.27069	0.455044	0.841539
87.0	0.666462	0.790561	0.124099	0.913885
88.0	0.440768	0.199017	0.241752	0.884409
89.0	0.386734	0.119875	0.266859	0.79917
90.0	0.200053	-0.158672	0.358725	0.889069
91.0	0.392481	0.851846	0.459365	0.754266
92.0	0.0698673	0.46425	0.394382	0.826811
93.0	0.83899	0.877848	0.0388587	0.737611
94.0	0.0563002	0.183294	0.126994	0.756847
95.0	0.552177	0.947937	0.39576	0.779137
96.0	0.0420291	0.395431	0.353402	0.642761
97.0	0.327056	0.259223	0.0678323	0.697933
98.0	0.569567	0.13747	0.432097	0.753166
99.0	0.833152	0.522845	0.310307	0.844176
100.0	0.317072	-0.140004	0.457075	0.696042
101.0	0.378403	0.421931	0.0435271	0.904154
102.0	0.473428	0.699577	0.226149	0.83542
103.0	0.277768	0.697023	0.419256	0.855124
104.0	0.530808	0.59348	0.0626716	0.793259
105.0	0.191783	-0.05881	0.250593	0.805233
106.0	0.0605993	0.607739	0.547139	0.757904
107.0	0.780689	0.889397	0.108708	0.88514
108.0	0.0727503	0.122006	0.0492558	0.706373
109.0	0.617162	0.95206	0.334899	0.732481
110.0	0.442013	0.483533	0.0415194	0.759792
111.0	0.461744	0.216153	0.245591	0.800677
112.0	0.129619	-0.100248	0.229867	0.700539
113.0	0.0558498	0.14815	0.0923	0.811544
114.0	0.707367	1.3587	0.651331	0.804509
115.0	0.130769	-0.00013633	0.130905	0.869637
116.0	0.395924	-0.155933	0.551857	0.799965
117.0	0.47373	0.31911	0.15462	0.840562
118.0	0.187998	0.163265	0.0247335	0.754718
119.0	0.235355	0.384376	0.149021	0.72661
120.0	0.212242	0.133516	0.0787258	0.857052
121.0	0.528203	0.379618	0.148585	0.80838
122.0	0.417573	0.338828	0.0787455	0.817314
123.0	0.452792	0.789192	0.3364	0.848147
124.0	0.3241	0.108654	0.215446	0.694175
125.0	0.67664	1.56387	0.887226	0.810238
126.0	0.632775	1.15179	0.519017	0.744023
127.0	0.285638	-0.141507	0.427145	0.726202
128.0	0.575044	0.793197	0.218153	0.862096
129.0	0.410772	0.989701	0.578928	0.738862
130.0	0.784986	0.589368	0.195617	0.790316
131.0	0.114139	0.475799	0.36166	0.708037
132.0	0.214695	0.342529	0.127834	0.830665
133.0	0.493674	0.609473	0.115799	0.952022
134.0	0.176276	0.171062	0.00521419	0.676338
135.0	0.300304	0.458809	0.158506	0.786896
136.0	0.375514	0.576393	0.200879	0.853174
137.0	0.923301	0.266186	0.657115	0.826723
138.0	0.541235	0.811326	0.270091	0.833519
139.0	0.332368	0.807764	0.475396	0.764183
140.0	0.844364	-0.0402323	0.884596	0.777843
141.0	0.30174	0.73172	0.42998	0.839269
142.0	0.0651367	-0.0539345	0.119071	0.727011
143.0	0.576513	0.896286	0.319773	0.900103
144.0	0.0764791	0.408435	0.331956	0.781777
145.0	0.547373	0.926105	0.378732	0.818176
146.0	0.183287	0.674608	0.491321	0.749265
147.0	0.469145	0.553342	0.0841977	0.866962
148.0	0.190196	0.610216	0.420019	0.576343
149.0	0.484467	0.701145	0.216678	0.752444
150.0	0.209913	0.204816	0.0050968	0.848843
