IND_ID	Opt	Phen	AbsErr	Fitness	density
1.0	0.469846	0.639604	0.169758	0.856569	8.01416
2.0	0.475753	0.725731	0.249979	0.784971	11.4267
3.0	0.673993	0.920706	0.246714	0.722572	15.0797
4.0	0.826043	0.681346	0.144697	0.875664	7.20936
5.0	0.140237	-0.148188	0.288424	0.930701	5.01694
6.0	0.580594	0.713062	0.132468	0.90288	6.12085
7.0	0.870429	1.28973	0.419299	0.835129	8.82131
8.0	0.706758	0.899136	0.192378	0.953201	4.26755
9.0	0.175611	-0.207949	0.383561	0.859826	7.75135
10.0	0.244831	0.489656	0.244825	0.852413	8.16424
11.0	0.669507	0.571106	0.0984014	0.847499	8.43473
12.0	0.287821	0.109159	0.178662	0.902983	6.10287
13.0	0.0732001	-0.12217	0.19537	0.82715	9.33983
14.0	0.0733006	0.0688777	0.00442292	0.817816	9.82786
15.0	0.82504	0.953579	0.128539	0.793888	11.0103
16.0	0.506051	0.388395	0.117656	0.847499	8.43038
17.0	0.354289	0.374107	0.0198183	0.795177	10.9616
18.0	0.0703247	0.322767	0.252443	0.873376	7.26148
19.0	0.48983	0.665503	0.175674	0.813859	9.98715
20.0	0.238031	0.0926851	0.145346	0.828007	9.31768
21.0	0.393941	0.466087	0.0721452	0.944895	4.58467
22.0	0.162836	0.563016	0.400179	0.901762	6.02568
23.0	0.295793	0.344177	0.0483845	0.801215	10.6498
24.0	0.108004	0.614132	0.506128	0.81813	9.53506
25.0	0.163865	0.988856	0.824991	0.808915	9.52303
26.0	0.458932	0.524022	0.0650901	0.938367	4.81595
27.0	0.199883	0.454919	0.255036	0.966917	3.77928
28.0	0.0189003	0.101241	0.0823411	0.890012	6.63838
29.0	0.537898	0.299451	0.238447	0.893248	6.46005
30.0	0.413097	0.397084	0.0160128	0.878068	7.13059
31.0	0.104355	-0.0415335	0.145889	0.867566	7.54882
32.0	0.107029	-0.242269	0.349298	0.882647	6.82133
33.0	0.867754	0.519329	0.348425	0.825572	9.32512
34.0	0.0648779	0.392593	0.327715	0.761289	12.6783
35.0	0.117015	-0.199114	0.316128	0.862692	7.67642
36.0	0.264316	-0.15387	0.418186	0.770866	12.0621
37.0	0.960152	0.588582	0.37157	0.925099	5.16893
38.0	0.0755666	0.390204	0.314638	0.888809	6.59544
39.0	0.0962742	0.720228	0.623954	0.854433	7.73675
40.0	0.360933	0.0251373	0.335795	0.801396	10.5178
41.0	0.781627	0.738885	0.0427423	0.818533	9.79111
42.0	0.555678	0.334168	0.221511	0.947596	4.45001
43.0	0.102944	0.301615	0.198672	0.792375	11.0631
44.0	0.299244	0.484736	0.185492	0.954125	4.23825
45.0	0.0594564	0.455724	0.396267	0.774458	11.8854
46.0	0.245786	0.118029	0.127758	0.774909	12.0232
47.0	0.665539	0.947771	0.282232	0.855788	7.99584
48.0	0.512556	0.555441	0.042885	0.880874	7.01355
49.0	0.479442	0.444004	0.0354382	0.82654	9.40833
50.0	0.084607	-0.254073	0.33868	0.895077	6.33098
51.0	0.0123384	-0.126332	0.13867	0.848523	8.37903
52.0	0.206275	0.0606326	0.145643	0.915509	5.63539
53.0	0.00969124	0.365472	0.355781	0.799386	10.6045
54.0	0.228785	0.358423	0.129639	0.910872	5.81484
55.0	0.0117055	-0.0328479	0.0445534	0.778838	11.8254
56.0	0.39059	0.0746478	0.315943	0.934488	4.86519
57.0	0.41064	0.758604	0.347963	0.80375	10.3898
58.0	0.0972737	0.353172	0.255899	0.916176	5.56805
59.0	0.532324	1.38887	0.856548	0.973103	2.9845
60.0	0.832829	0.793181	0.0396473	0.824302	9.5143
61.0	0.448635	0.802651	0.354016	0.862648	7.6524
62.0	0.0881824	0.159115	0.0709329	0.835996	8.96222
63.0	0.391938	0.850681	0.458742	0.80944	10.0081
64.0	0.745136	0.672411	0.072725	0.933018	5.00641
65.0	0.0373263	0.183609	0.146283	0.8653	7.64511
66.0	0.628988	0.955885	0.326897	0.87224	7.26544
67.0	0.0243175	-0.033995	0.0583125	0.884881	6.84857
68.0	0.089931	-0.332036	0.421967	0.934987	4.77447
69.0	0.870272	0.801506	0.0687655	0.827301	9.3686
70.0	0.434292	0.68512	0.250829	0.865919	7.57642
71.0	0.981017	0.509941	0.471076	0.82966	9.02578
72.0	0.356999	0.449713	0.092714	0.8151	9.95075
73.0	0.499969	0.308783	0.191186	0.826176	9.38761
74.0	0.113941	-0.0708851	0.184826	0.847242	8.42066
75.0	0.711311	0.977229	0.265918	0.679032	18.0802
76.0	0.00764638	0.245312	0.237666	0.744658	13.7119
77.0	0.596864	0.671435	0.0745709	0.851094	8.27898
78.0	0.44945	0.816309	0.366859	0.874568	7.14058
79.0	0.731567	0.679807	0.0517601	0.826262	9.41996
80.0	0.349943	0.408611	0.0586676	0.8459	8.51297
81.0	0.335635	0.80696	0.471325	0.950929	4.1764
82.0	0.411084	0.107343	0.303742	0.970517	3.63587
83.0	0.152516	0.291171	0.138655	0.949399	4.41491
84.0	0.771478	0.404597	0.366882	0.745769	13.551
85.0	0.292806	1.25765	0.964843	0.869984	6.53726
86.0	0.1722	0.100568	0.071632	0.877535	7.14772
87.0	0.806824	0.845704	0.0388809	0.868147	7.54431
88.0	0.762873	1.05581	0.292941	0.921466	5.35189
89.0	0.691808	1.41156	0.719749	0.888685	6.18932
90.0	0.845139	1.35514	0.510001	0.860748	7.59638
91.0	0.390772	0.460214	0.0694419	0.792604	11.0902
92.0	0.0610619	0.0248436	0.0362183	0.810423	10.1888
93.0	0.999899	0.496764	0.503136	0.89332	6.26483
94.0	0.201065	0.968592	0.767527	0.838255	8.24595
95.0	0.0321433	-0.12693	0.159074	0.853294	8.16136
96.0	0.817726	0.641457	0.176269	0.807422	10.3053
97.0	0.0760093	0.434548	0.358539	0.846543	8.35341
98.0	0.230127	1.89479	1.66466	0.792786	8.09274
99.0	0.907396	0.784249	0.123148	0.870276	7.44053
100.0	0.0949845	-0.198884	0.293868	0.92786	5.11696
101.0	0.0423873	-0.0206506	0.0630379	0.874292	7.28354
102.0	0.0155809	-0.0544955	0.0700763	0.918432	5.54153
103.0	0.698657	0.759391	0.0607339	0.841124	8.72867
104.0	0.46433	0.897581	0.43325	0.836803	8.73191
105.0	0.0228735	0.712877	0.690004	0.773438	11.5747
106.0	0.399985	0.636804	0.236819	0.890198	6.58225
107.0	0.44806	0.717793	0.269733	0.85235	8.15374
108.0	0.306632	0.0177888	0.288843	0.778876	11.7297
109.0	0.665068	0.791475	0.126407	0.830725	9.19553
110.0	0.479585	1.09762	0.618031	0.826909	8.98414
111.0	0.77904	1.00831	0.229267	0.859565	7.85955
112.0	0.334048	0.757347	0.423298	0.862144	7.61903
113.0	0.330677	0.115538	0.215139	0.995779	2.86833
114.0	0.158231	0.297612	0.139381	0.826449	9.39311
115.0	0.160367	0.455871	0.295504	0.859913	7.80885
116.0	0.407585	0.335215	0.0723701	0.841643	8.70343
117.0	0.710283	0.514236	0.196047	0.891388	6.55216
118.0	0.501147	0.598147	0.0970006	0.893217	6.50795
119.0	0.899042	0.635128	0.263914	0.79963	10.6555
120.0	0.77354	0.827666	0.0541256	0.910289	5.85035
121.0	0.436271	0.564356	0.128084	0.869105	7.48867
122.0	0.813084	0.696861	0.116224	0.928138	5.17546
123.0	0.295389	0.504307	0.208917	0.861188	7.79862
124.0	0.950899	1.24803	0.297128	0.837962	8.78374
125.0	0.641484	0.597418	0.0440667	0.864296	7.70787
126.0	0.365322	0.228758	0.136564	0.875689	7.21061
127.0	0.132143	0.219585	0.0874422	0.843342	8.62386
128.0	0.863505	1.35043	0.48693	0.912859	5.52861
129.0	0.136503	-0.135303	0.271807	0.871641	7.32379
130.0	0.665055	0.214205	0.45085	0.782207	11.4137
131.0	0.0691118	0.0925893	0.0234775	0.885023	6.84564
132.0	0.455228	0.330408	0.124819	0.871787	7.37657
133.0	0.0658578	0.2085	0.142642	0.875415	7.2203
134.0	0.792571	0.913913	0.121342	0.850357	8.30215
135.0	0.3016	0.488955	0.187354	0.878832	7.06415
136.0	0.172161	0.163744	0.00841724	0.880702	7.02239
137.0	0.580567	0.721011	0.140444	0.835243	8.9814
138.0	0.403817	0.496998	0.0931817	0.869966	7.46014
139.0	0.963026	0.67786	0.285167	0.819884	9.63968
140.0	0.744285	0.372001	0.372285	0.779751	11.6192
141.0	0.622022	0.324612	0.29741	0.813831	9.92564
142.0	0.698925	0.33154	0.367384	0.946338	4.4147
143.0	0.374066	0.768841	0.394775	0.948571	4.31815
144.0	0.35488	0.410966	0.056086	0.877595	7.14725
145.0	0.10146	0.543885	0.442425	0.919724	5.3121
146.0	0.915485	1.24769	0.332208	0.904626	5.96337
147.0	0.605023	1.11463	0.509608	0.945432	4.33165
148.0	0.868078	1.30117	0.433089	0.889717	6.4719
149.0	0.515391	0.0668966	0.448494	0.883909	6.69163
150.0	0.564632	0.498766	0.0658663	0.79221	11.1113
151.0	0.732531	0.430874	0.301658	0.857286	7.91886
152.0	0.663992	0.681297	0.017305	0.831352	9.18296
153.0	0.955794	0.674763	0.281031	0.772893	12.0614
154.0	0.260568	0.818965	0.558397	0.824793	9.15814
155.0	0.65374	0.943844	0.290104	0.760596	12.7452
156.0	0.487406	0.305337	0.182069	0.909225	5.86176
157.0	0.595355	0.512107	0.0832482	0.948026	4.47384
158.0	0.0304869	0.626094	0.595607	0.813291	9.66243
159.0	0.328572	0.424889	0.0963165	0.886555	6.77496
160.0	0.0617415	-0.185093	0.246835	0.905315	5.9847
161.0	0.67559	-0.141562	0.817152	0.706382	15.3768
162.0	0.879612	0.990154	0.110542	0.836784	8.91831
163.0	0.733192	0.827758	0.0945666	0.921656	5.41786
164.0	0.905113	0.783184	0.121929	0.798779	10.7601
165.0	0.105465	0.395023	0.289558	0.857013	7.93814
166.0	0.554695	0.849907	0.295212	0.863131	7.67068
167.0	0.0830202	-0.237074	0.320094	0.826354	9.30843
168.0	0.547444	0.491749	0.0556943	0.817305	9.84931
169.0	0.794697	1.05662	0.261921	0.846981	8.39636
170.0	0.737471	0.830381	0.0929106	0.80812	10.2952
171.0	0.650367	0.549843	0.100524	0.793353	11.0453
172.0	0.386919	0.889482	0.502563	0.903032	5.88725
173.0	0.942658	0.844779	0.0978792	0.86774	7.55334
174.0	0.128852	0.876113	0.747261	0.893051	5.97852
175.0	0.527348	0.54792	0.0205718	0.863322	7.75113
176.0	0.786869	0.766452	0.020417	0.837781	8.88493
177.0	0.31533	0.446405	0.131075	0.797336	10.8315
178.0	0.508343	0.0259441	0.482398	0.885126	6.61129
179.0	0.967141	0.497468	0.469672	0.771328	11.9838
180.0	0.166103	0.624581	0.458478	0.832045	8.92733
181.0	0.189452	0.555852	0.3664	0.831579	9.0296
182.0	0.708983	0.701807	0.00717586	0.860702	7.86433
183.0	0.233788	0.530208	0.296419	0.954309	4.18316
184.0	0.0627417	1.03977	0.977029	0.868767	6.56386
185.0	0.360454	0.021955	0.338499	0.966572	3.74617
186.0	0.94504	0.727672	0.217368	0.909616	5.83326
187.0	0.0177318	0.559333	0.541601	0.916282	5.34721
188.0	0.637485	0.355643	0.281842	0.91542	5.58304
189.0	0.820992	0.697184	0.123809	0.845799	8.50504
190.0	0.652644	0.708443	0.0557991	0.803371	10.5396
191.0	0.445046	0.32782	0.117226	0.863511	7.72939
192.0	0.453246	1.00397	0.550722	0.882442	6.64986
193.0	0.0482461	0.198568	0.150322	0.834821	8.99787
194.0	0.388473	0.170507	0.217966	0.944905	4.54523
195.0	0.821808	0.758688	0.0631204	0.948846	4.4481
196.0	0.872154	0.958056	0.0859021	0.835444	8.98524
197.0	0.899603	0.678162	0.221442	0.836939	8.87216
198.0	0.628935	0.997466	0.368531	0.737664	14.0395
199.0	0.713205	0.525662	0.187543	0.929927	5.09005
200.0	0.91548	0.562203	0.353277	0.802263	10.4606
201.0	0.0641606	-0.0440255	0.108186	0.856899	8.01744
202.0	0.542472	0.576891	0.0344191	0.906404	6.00068
203.0	0.546656	-0.00529818	0.551954	0.86424	7.40229
204.0	0.775334	0.938632	0.163298	0.881384	6.96787
205.0	0.858678	-0.268179	1.12686	0.907535	4.75398
206.0	0.186948	0.647658	0.460711	0.902485	5.94726
207.0	0.949525	0.9885	0.0389748	0.875876	7.22012
208.0	0.039368	0.44409	0.404722	0.846646	8.31211
209.0	0.275653	-0.0688071	0.34446	0.804013	10.3793
210.0	0.993872	0.552935	0.440937	0.837811	8.67876
211.0	0.85677	0.489768	0.367002	0.953678	4.16206
212.0	0.421848	0.59747	0.175621	0.830814	9.17547
213.0	0.528762	0.277757	0.251006	0.853868	8.09706
214.0	0.293742	0.301649	0.00790695	0.89056	6.62309
215.0	0.893919	1.21737	0.323448	0.821732	9.52583
216.0	0.658101	0.859916	0.201815	0.776529	11.9063
217.0	0.682308	0.994556	0.312248	0.815298	9.84413
218.0	0.975408	-0.0203187	0.995727	0.902369	5.20716
219.0	0.65531	0.626112	0.0291984	0.885551	6.82396
220.0	0.260222	0.43362	0.173398	0.855907	8.04179
221.0	0.632459	0.616801	0.015658	0.85362	8.17297
222.0	0.164701	0.636971	0.47227	0.941699	4.49553
223.0	0.547369	0.0646574	0.482711	0.881382	6.76245
224.0	0.183142	0.292273	0.109132	0.867438	7.56381
225.0	0.415515	0.619558	0.204043	0.890175	6.59742
226.0	0.239621	0.39807	0.158449	0.896322	6.36973
227.0	0.679735	1.09437	0.414634	0.776607	11.7511
228.0	0.253299	0.769836	0.516537	0.842744	8.37952
229.0	0.655939	1.20494	0.548997	0.807473	10.0058
230.0	0.7531	0.951354	0.198254	0.816387	9.85449
231.0	0.192859	0.973121	0.780262	0.931095	4.51393
232.0	0.451774	0.262562	0.189212	0.809804	10.1816
233.0	0.35214	0.469924	0.117783	0.870438	7.43501
234.0	0.376059	0.206616	0.169442	0.863837	7.70014
235.0	0.38106	0.824778	0.443717	0.863774	7.53144
236.0	0.989978	0.410957	0.57902	0.889666	6.32898
237.0	0.0762822	0.479414	0.403132	0.816204	9.72941
238.0	0.623165	0.623778	0.000613741	0.841032	8.73675
239.0	0.958587	1.1699	0.211314	0.801006	10.6133
240.0	0.352765	0.78532	0.432555	0.897824	6.15256
241.0	0.0113983	0.384159	0.372761	0.858697	7.80848
242.0	0.911965	0.698933	0.213031	0.798932	10.7182
243.0	0.333047	0.770338	0.437291	0.903382	5.93305
244.0	0.247637	0.800124	0.552486	0.914423	5.40518
245.0	0.447048	0.323053	0.123995	0.964684	3.8984
246.0	0.529318	0.437531	0.0917863	0.744677	13.7689
247.0	0.756407	0.681923	0.0744842	0.763445	12.6755
248.0	0.778049	0.795842	0.0177927	0.811334	10.1449
249.0	0.801746	-0.212921	1.01467	0.828475	8.23171
250.0	0.87923	1.15167	0.272444	0.839807	8.71429
251.0	0.180783	0.178965	0.00181849	0.854188	8.14822
252.0	0.0584793	0.672808	0.614329	0.869761	7.09682
253.0	0.674937	0.576789	0.0981472	0.787477	11.3539
254.0	0.183654	0.370724	0.18707	0.767655	12.4035
255.0	0.259736	-0.218492	0.478229	0.783051	11.3398
256.0	0.218807	1.01151	0.792702	0.834617	8.3696
257.0	0.878412	0.939662	0.0612499	0.889379	6.66676
258.0	0.822346	0.552366	0.26998	0.809913	10.1355
259.0	0.55521	1.0927	0.537493	0.808275	9.9798
260.0	0.900823	1.12879	0.227968	0.837739	8.83233
261.0	0.207404	0.467576	0.260173	0.939814	4.7056
262.0	0.915752	0.652897	0.262854	0.911241	5.75051
263.0	0.480808	0.434912	0.0458959	0.832819	9.11257
264.0	0.0985421	0.0692231	0.029319	0.871453	7.40552
265.0	0.283156	-0.226059	0.509215	0.806761	10.0871
266.0	0.217675	-0.553981	0.771656	0.86177	7.21328
267.0	0.69227	0.423878	0.268392	0.889698	6.58647
268.0	0.824057	0.705213	0.118844	0.920402	5.4594
269.0	0.450105	0.928644	0.478539	0.860685	7.63077
270.0	0.48213	0.444973	0.0371572	0.942767	4.6629
271.0	0.344923	-0.249454	0.594377	0.889779	6.30689
272.0	0.261158	-0.210603	0.471762	0.886444	6.56835
273.0	0.513051	0.44927	0.063781	0.931651	5.05687
274.0	0.457351	0.423907	0.0334438	0.811864	10.1178
275.0	0.353577	-0.012622	0.366199	0.825114	9.33316
276.0	0.773803	0.748562	0.0252405	0.899337	6.2753
277.0	0.115969	-0.0723573	0.188327	0.886701	6.74306
278.0	0.739399	0.583788	0.155611	0.871399	7.38412
279.0	0.795801	0.810004	0.0142034	0.778564	11.8423
280.0	0.13291	0.209809	0.0768989	0.845834	8.51335
281.0	0.187971	0.420916	0.232945	0.902529	6.09873
282.0	0.4511	0.565947	0.114847	0.919599	5.49014
283.0	0.463453	1.0363	0.572843	0.942514	4.37036
284.0	0.560123	0.362661	0.197462	0.967014	3.7995
285.0	0.421412	0.521407	0.0999955	0.878204	7.11524
286.0	0.718435	0.784262	0.065827	0.823999	9.52574
287.0	0.00932605	-0.300024	0.30935	0.909403	5.79471
288.0	0.470777	0.329727	0.141049	0.836763	8.91113
289.0	0.776499	0.724669	0.05183	0.818087	9.81178
290.0	0.056161	0.276218	0.220057	0.818891	9.72321
291.0	0.191947	0.562522	0.370574	0.837815	8.73875
292.0	0.692058	0.819934	0.127876	0.829675	9.24432
293.0	0.370639	0.422955	0.0523159	0.905869	6.01974
294.0	0.370654	0.489549	0.118896	0.985159	3.23105
295.0	0.823201	0.827652	0.00445125	0.903515	6.11329
296.0	0.571369	0.649368	0.0779988	0.911356	5.80675
297.0	0.499318	0.418373	0.0809452	0.849398	8.35328
298.0	0.936971	0.56768	0.369291	0.91572	5.51745
299.0	0.882675	0.68869	0.193984	0.947937	4.44868
300.0	0.31882	0.876885	0.558065	0.925418	4.99433
301.0	0.0822179	0.453728	0.37151	0.906622	5.86005
302.0	0.779083	0.787025	0.00794234	0.869827	7.47475
303.0	0.433728	0.3856	0.0481289	0.877659	7.14543
304.0	0.0373613	0.484117	0.446756	0.853333	7.97953
305.0	0.862063	0.916191	0.0541282	0.898085	6.32213
306.0	0.998997	0.607137	0.391859	0.897863	6.18371
307.0	0.413231	0.646829	0.233598	0.880494	6.9764
308.0	0.596394	1.10283	0.506439	0.830047	8.97102
309.0	0.699754	0.73043	0.0306764	0.936126	4.89892
310.0	0.892772	0.578879	0.313893	0.822797	9.48153
311.0	0.0457847	0.184875	0.13909	0.762966	12.6866
312.0	0.372589	0.723347	0.350758	0.879858	6.93411
313.0	0.922169	0.53649	0.385679	0.775275	11.8502
314.0	0.293534	0.518309	0.224775	0.958552	4.07285
315.0	0.846484	0.831086	0.0153981	0.925928	5.26875
316.0	0.833057	0.795167	0.0378895	0.896565	6.38336
317.0	0.612311	0.0497787	0.562532	0.778288	11.4948
318.0	0.97944	0.528527	0.450912	0.92494	5.1133
319.0	0.472426	0.644807	0.172381	0.773797	12.0687
320.0	0.911606	1.06504	0.153431	0.870264	7.43256
321.0	0.587252	0.455007	0.132244	0.901094	6.19026
322.0	0.277104	0.466643	0.189539	0.90968	5.84174
323.0	0.757186	0.584105	0.173081	0.831075	9.16422
324.0	0.468799	0.743399	0.2746	0.813813	9.94076
325.0	0.212999	0.406588	0.193589	0.834407	9.00121
326.0	0.940017	0.314856	0.625161	0.843132	8.23302
327.0	0.504441	0.458622	0.0458197	0.849566	8.35044
328.0	0.305424	0.457625	0.152201	0.880135	7.02255
329.0	0.262455	0.0845958	0.177859	0.808428	10.2546
330.0	0.0742817	-0.129132	0.203413	0.898186	6.28056
331.0	0.392456	0.771342	0.378886	0.811695	9.97019
332.0	0.328547	0.47191	0.143363	0.856861	8.00996
333.0	0.425286	0.526334	0.101048	0.797764	10.8173
334.0	0.980563	1.0203	0.0397344	0.874064	7.2955
335.0	0.286304	0.521609	0.235305	0.745326	13.6732
336.0	0.0498885	0.233563	0.183674	0.829214	9.24736
337.0	0.127298	0.468366	0.341069	0.910302	5.74075
338.0	0.453951	0.362959	0.0909913	0.842471	8.66266
339.0	0.13781	-0.320553	0.458363	0.851889	8.03201
340.0	0.715382	1.08729	0.371904	0.871546	7.26271
341.0	0.0149856	0.469857	0.454872	0.872326	7.16114
342.0	0.0686314	0.183502	0.11487	0.799362	10.7322
343.0	0.276309	-0.211508	0.487816	0.788195	11.0578
344.0	0.168801	-0.264788	0.433589	0.844182	8.39714
345.0	0.531201	0.459	0.0722005	0.889008	6.6802
346.0	0.316832	0.488755	0.171923	0.805913	10.3824
347.0	0.561698	0.718827	0.157129	0.865321	7.64086
348.0	0.277031	0.0283835	0.248648	0.837007	8.85551
349.0	0.866468	0.481918	0.38455	0.911601	5.66129
350.0	0.0193421	0.271107	0.251765	0.868532	7.46517
351.0	0.748132	0.560177	0.187955	0.900442	6.1983
352.0	0.110965	0.0717669	0.0391979	0.888845	6.6904
353.0	0.858508	0.342707	0.515801	0.801846	10.3254
354.0	0.935691	0.813394	0.122296	0.887323	6.73834
355.0	0.475388	0.745835	0.270447	0.87099	7.35181
356.0	0.810276	1.335	0.524728	0.864909	7.40362
357.0	0.197278	0.863313	0.666035	0.898006	5.89678
358.0	0.841952	1.0611	0.21915	0.905663	5.9838
359.0	0.16765	0.0790554	0.0885949	0.906283	5.99889
360.0	0.485027	0.497585	0.0125588	0.891875	6.57047
361.0	0.284757	0.458701	0.173944	0.753389	13.2259
362.0	0.81683	0.641346	0.175485	0.870663	7.40841
363.0	0.999499	0.659464	0.340035	0.876253	7.08983
364.0	0.517066	0.689182	0.172116	0.929595	5.10731
365.0	0.262818	0.695104	0.432286	0.869276	7.30885
366.0	0.0450828	0.0754425	0.0303597	0.793069	11.0704
367.0	0.862066	0.723497	0.138569	0.81371	10.0072
368.0	0.339566	0.827586	0.48802	0.864262	7.46873
369.0	0.210217	0.169757	0.0404602	0.843432	8.6261
370.0	0.676653	0.88389	0.207236	0.890804	6.57098
371.0	0.128454	0.670867	0.542413	0.802155	10.2788
372.0	0.793454	0.599094	0.19436	0.873477	7.28343
373.0	0.184672	0.628706	0.444033	0.821815	9.42217
374.0	0.876243	0.801642	0.0746015	0.947856	4.48102
375.0	0.729848	0.832193	0.102345	0.925111	5.28905
376.0	0.228343	0.159246	0.0690964	0.744556	13.7806
377.0	0.93693	0.659823	0.277107	0.851494	8.18732
378.0	0.662456	0.938348	0.275893	0.889485	6.59098
379.0	0.552894	0.596397	0.0435035	0.869565	7.48396
380.0	0.243947	0.377586	0.133639	0.801857	10.5999
381.0	0.905978	0.987183	0.0812046	0.865458	7.65344
382.0	0.128561	0.0781025	0.0504581	0.825547	9.45404
383.0	0.709355	0.62812	0.0812351	0.866723	7.59959
384.0	0.158327	0.342987	0.184661	0.763614	12.6324
385.0	0.513078	1.0567	0.543625	0.809897	9.89265
386.0	0.119446	0.65502	0.535573	0.883825	6.61025
387.0	0.612083	0.311656	0.300427	0.843314	8.53845
388.0	0.842404	1.17937	0.336962	0.862838	7.65627
389.0	0.239004	0.604011	0.365007	0.811824	9.97514
390.0	0.714929	0.565027	0.149902	0.818943	9.74884
391.0	0.0471895	-0.582473	0.629663	0.899961	5.86672
392.0	0.0517056	0.71712	0.665414	0.851195	7.82299
393.0	0.742755	0.767225	0.0244701	0.916832	5.60547
394.0	0.467583	0.78876	0.321177	0.802861	10.4544
395.0	0.0865671	0.646235	0.559668	0.85064	7.9805
396.0	0.36655	1.01477	0.648221	0.8311	8.74896
397.0	0.346867	0.393103	0.0462366	0.8621	7.80191
398.0	0.965738	0.910327	0.0554112	0.871419	7.40471
399.0	0.613885	0.746663	0.132778	0.870195	7.44144
400.0	0.301435	0.604674	0.30324	0.904815	5.97389
401.0	0.980095	0.651024	0.329071	0.8053	10.3262
402.0	0.344552	0.788495	0.443943	0.816435	9.68074
403.0	0.759018	0.76358	0.00456209	0.825339	9.46663
404.0	0.161273	-0.0292971	0.19057	0.831665	9.12991
405.0	0.28051	0.549616	0.269106	0.818294	9.72602
406.0	0.794695	0.245532	0.549163	0.901193	5.91078
407.0	0.909286	0.335508	0.573778	0.789998	10.8612
408.0	0.0616303	0.76416	0.70253	0.876613	6.69838
409.0	0.851923	1.30639	0.454463	0.834408	8.822
410.0	0.392044	0.856925	0.464881	0.885406	6.61643
411.0	0.664759	0.822063	0.157304	0.704073	16.3537
412.0	0.250749	0.723385	0.472636	0.892685	6.31898
413.0	0.0442061	0.425537	0.381331	0.880702	6.87727
414.0	0.752039	0.683277	0.0687625	0.78086	11.7128
415.0	0.516066	0.870133	0.354067	0.865367	7.53636
416.0	0.932768	0.70715	0.225618	0.914867	5.6311
