Region	Region	Fst

1.0	2.0	0.00203696
1.0	3.0	0.00487055
1.0	4.0	0.00596187
1.0	5.0	0.00701019
1.0	6.0	0.0104455
1.0	7.0	0.011916
1.0	8.0	0.0148248
1.0	9.0	0.0179208
1.0	10.0	0.0255058
2.0	3.0	0.000308743
2.0	4.0	0.00328494
2.0	5.0	0.00603367
2.0	6.0	0.0132196
2.0	7.0	0.0157758
2.0	8.0	0.0190732
2.0	9.0	0.0191817
2.0	10.0	0.0294212
3.0	4.0	0.00140602
3.0	5.0	0.00414948
3.0	6.0	0.0147294
3.0	7.0	0.015544
3.0	8.0	0.0201808
3.0	9.0	0.0197246
3.0	10.0	0.0311253
4.0	5.0	0.00127206
4.0	6.0	0.0117247
4.0	7.0	0.0127542
4.0	8.0	0.0161869
4.0	9.0	0.0182436
4.0	10.0	0.0275536
5.0	6.0	0.00478994
5.0	7.0	0.00547339
5.0	8.0	0.0090754
5.0	9.0	0.0112195
5.0	10.0	0.0179156
6.0	7.0	0.000169044
6.0	8.0	0.00268026
6.0	9.0	0.00875114
6.0	10.0	0.0131676
7.0	8.0	0.000479546
7.0	9.0	0.00475663
7.0	10.0	0.00975706
8.0	9.0	0.00311764
8.0	10.0	0.0071073
9.0	10.0	0.00190814
