Ind_ID	PosInd_X	PosInd_Y	MutEffect	Region

1	4.40535	4.82875	0.979885	1
4	7.6675	12.6474	0.335502	1
5	6.8727	24.6435	0.50397	1
12	0.346496	3.84561	0.599544	1
16	0.229216	8.5382	0.809951	1
19	7.22134	3.5322	0.403454	1
23	3.91417	2.50032	1.02518	1
27	6.6879	24.8122	0.401109	1
30	6.377	5.49716	0.362344	1
35	1.07426	5.66466	0.378007	1
37	2.13945	15.9328	-0.0139784	1
38	7.19117	4.38143	0.0241903	1
40	5.93371	23.5185	0.50813	1
41	8.1807	22.0453	0.445537	1
44	7.5028	10.3077	-0.272934	1
45	4.01921	8.09442	0.619576	1
46	2.38882	10.1853	0.338474	1
48	8.19268	7.39749	0.559893	1
50	0.230796	2.03328	0.837512	1
53	5.78101	15.3432	0.47383	1
57	7.24615	14.4233	0.90419	1
64	0.363234	12.6603	0.823061	1
68	4.22869	0.965297	-0.189639	1
70	7.57954	15.9462	0.829414	1
72	0.624982	9.66367	-0.264957	1
77	5.47647	18.0432	0.371445	1
78	5.94627	23.9071	0.666236	1
79	0.196366	17.7624	0.0327746	1
81	0.364268	23.1246	0.399776	1
84	5.84771	23.7575	-0.335746	1
87	0.444876	12.6139	-0.195295	1
89	8.15035	4.61161	-0.134248	1
95	7.97665	18.1338	0.408214	1
99	5.08331	22.3661	0.386101	1
110	4.28952	15.8402	0.584292	1
111	7.61282	14.4383	0.144562	1
112	5.11306	12.2277	0.258484	1
117	6.88036	16.6289	0.327055	1
119	1.89814	21.6293	-0.638224	1
121	1.97004	0.769281	0.319443	1
129	0.0920616	23.7773	0.442384	1
133	6.2125	5.51092	0.112252	1
137	6.23532	16.0749	0.304648	1
141	7.84079	7.85397	-0.149472	1
144	2.78225	11.5078	0.252124	1
147	2.24341	10.385	0.799189	1
148	7.91674	11.3708	0.494621	1
153	5.15507	22.8207	0.324544	1
154	7.24029	13.7812	0.913486	1
155	0.824545	3.79296	0.386794	1
159	4.54758	6.07581	0.53299	1
160	0.260541	6.64872	0.946859	1
162	5.56619	10.3017	0.695863	1
168	4.04306	17.3326	0.144621	1
172	4.79036	5.13627	0.0092758	1
175	7.12065	12.6328	0.706626	1
176	1.97831	22.1383	1.03856	1
180	2.48324	11.7817	0.0921744	1
181	7.96454	1.90551	0.465937	1
190	1.83035	11.4825	0.748062	1
193	5.41946	16.499	1.17457	1
203	3.97325	16.9784	0.180315	1
204	6.72982	6.04833	0.211981	1
206	5.60357	15.6147	-0.206236	1
210	7.21575	16.2931	0.506902	1
211	3.74881	6.0439	1.1213	1
213	2.2771	0.32225	0.199104	1
214	7.98846	16.2623	0.523742	1
215	5.42416	10.8455	0.10215	1
222	4.18752	0.957057	0.38106	1
227	0.299666	16.57	-0.318548	1
231	7.55894	10.2685	0.660796	1
235	7.08493	19.6709	0.530605	1
237	1.53679	0.817704	0.770767	1
238	7.97593	18.2002	0.725888	1
239	4.0354	5.84401	-0.0457661	1
246	2.25937	24.0652	0.696674	1
249	6.89073	5.10502	0.266054	1
257	5.47985	13.1859	0.307447	1
260	3.9829	9.90704	0.40377	1
266	3.39563	2.48469	1.10367	1
268	3.52619	7.2039	0.390008	1
277	3.08601	20.6337	1.22643	1
279	6.70457	8.82512	0.726688	1
287	4.04953	0.39673	0.0568356	1
289	1.23325	3.82936	-0.619329	1
294	3.1501	11.0998	-0.232501	1
297	2.02637	13.5756	0.304182	1
303	2.65846	3.54684	1.01372	1
307	7.66716	18.4548	0.501499	1
309	6.8918	19.294	0.35522	1
316	1.14772	23.633	0.385175	1
320	4.09148	3.9138	1.22594	1
323	6.68796	15.5864	0.133668	1
324	2.69706	17.3875	0.531919	1
327	1.53027	16.4858	0.130233	1
328	7.37702	12.3073	-0.912146	1
335	3.60742	14.4904	-0.00295554	1
338	0.735694	0.382505	0.564107	1
347	3.1026	0.858445	1.45213	1
348	2.15511	0.931343	-0.020018	1
351	7.50771	4.47058	-0.121912	1
352	6.27876	10.2571	-0.017318	1
357	5.18524	10.9126	0.935942	1
370	5.8136	13.1492	0.412144	1
371	1.10076	19.3617	-0.245417	1
373	4.23172	2.80452	0.682382	1
375	0.249653	20.5815	0.410149	1
376	2.99227	0.373931	0.362602	1
381	7.16482	11.8627	-0.0591421	1
382	5.81177	7.26366	-0.174097	1
384	7.20252	8.19354	-0.353646	1
389	0.648397	12.1926	0.0969893	1
