Region	Region	Fst

1.0	2.0	0.032211
1.0	3.0	0.0956946
1.0	4.0	0.158619
1.0	5.0	0.230411
1.0	6.0	0.266274
1.0	7.0	0.314878
1.0	8.0	0.320399
1.0	9.0	0.365506
1.0	10.0	0.402187
2.0	3.0	0.0811455
2.0	4.0	0.154394
2.0	5.0	0.218551
2.0	6.0	0.258596
2.0	7.0	0.304789
2.0	8.0	0.304788
2.0	9.0	0.349891
2.0	10.0	0.388622
3.0	4.0	0.0372732
3.0	5.0	0.138832
3.0	6.0	0.173104
3.0	7.0	0.208706
3.0	8.0	0.213427
3.0	9.0	0.269063
3.0	10.0	0.308362
4.0	5.0	0.0737334
4.0	6.0	0.111501
4.0	7.0	0.126217
4.0	8.0	0.140421
4.0	9.0	0.21327
4.0	10.0	0.261216
5.0	6.0	0.0337332
5.0	7.0	0.0510858
5.0	8.0	0.0769425
5.0	9.0	0.130187
5.0	10.0	0.172247
6.0	7.0	0.026078
6.0	8.0	0.0729594
6.0	9.0	0.123702
6.0	10.0	0.155989
7.0	8.0	0.0352399
7.0	9.0	0.114393
7.0	10.0	0.160739
8.0	9.0	0.04052
8.0	10.0	0.108909
9.0	10.0	0.0362605
